indicator,date,rate
high,2021-11-17 14:25:00,34.99
low,2021-11-17 14:25:00,34.97
close,2021-11-17 14:25:00,34.98
open,2021-11-17 14:24:00,34.98
high,2021-11-17 14:24:00,34.99
low,2021-11-17 14:24:00,34.98
close,2021-11-17 14:24:00,34.98
open,2021-11-17 14:23:00,34.98
high,2021-11-17 14:23:00,34.98
low,2021-11-17 14:23:00,34.98
close,2021-11-17 14:23:00,34.98
open,2021-11-17 14:22:00,35.02
high,2021-11-17 14:22:00,35.02
low,2021-11-17 14:22:00,34.99
close,2021-11-17 14:22:00,34.99
open,2021-11-17 14:21:00,35.02
high,2021-11-17 14:21:00,35.03
low,2021-11-17 14:21:00,35.01
close,2021-11-17 14:21:00,35.01
